# stars45degtime,stars45degbarDist,stars45degdiskDist,stars90degtime,stars90degbarDist,stars90degdiskDist,stars0degtime,stars0degbarDist,stars0degdiskDist,stars0deg_retrotime,stars0deg_retrobarDist,stars0deg_retrodiskDist
   2.60000,    0.02109,    0.26699,    2.60000,    0.01377,    0.36151,    2.60000,    0.00473,    0.29474,    2.60000,    0.00519,    0.31423
   2.62500,    0.00279,    0.24584,    2.62500,    0.01767,    0.31952,    2.62500,    0.01015,    0.26199,    2.62500,    0.01705,    0.26309
   2.65000,    0.00963,    0.23763,    2.65000,    0.00789,    0.27349,    2.65000,    0.00838,    0.22262,    2.65000,    0.00758,    0.24101
   2.67500,    0.00671,    0.20885,    2.67500,    0.01754,    0.18862,    2.67500,    0.00750,    0.21299,    2.67500,    0.00856,    0.27123
   2.70000,    0.01148,    0.15856,    2.70000,    0.01127,    0.10319,    2.70000,    0.00327,    0.22231,    2.70000,    0.00968,    0.25862
   2.72500,    0.00971,    0.08616,    2.72500,    0.00578,    0.08235,    2.72500,    0.02206,    0.18611,    2.72500,    0.00730,    0.21683
   2.75000,    0.01929,    0.03116,    2.75000,    0.01404,    0.10482,    2.75000,    0.02538,    0.11648,    2.75000,    0.00010,    0.21798
   2.77500,    0.01270,    0.05219,    2.77500,    0.00472,    0.11549,    2.77500,    0.00767,    0.05684,    2.77500,    0.00982,    0.21699
   2.80000,    0.02159,    0.09546,    2.80000,    0.00191,    0.06011,    2.80000,    0.01679,    0.11246,    2.80000,    0.00615,    0.23592
   2.82500,    0.01784,    0.08600,    2.82500,    0.00751,    0.02485,    2.82500,    0.00709,    0.18601,    2.82500,    0.00429,    0.25345
   2.85000,    0.00811,    0.07644,    2.85000,    0.00533,    0.02875,    2.85000,    0.00407,    0.21054,    2.85000,    0.01790,    0.26468
   2.87500,    0.03077,    0.12771,    2.87500,    0.01183,    0.08567,    2.87500,    0.00314,    0.20802,    2.87500,    0.03304,    0.26289
   2.90000,    0.00525,    0.15127,    2.90000,    0.00874,    0.07246,    2.90000,    0.01332,    0.19356,    2.90000,    0.02781,    0.24629
   2.92500,    0.01062,    0.17712,    2.92500,    0.01853,    0.10808,    2.92500,    0.03220,    0.17923,    2.92500,    0.00016,    0.21474
   2.95000,    0.00581,    0.18709,    2.95000,    0.01237,    0.19023,    2.95000,    0.00562,    0.16146,    2.95000,    0.00534,    0.14962
   2.97500,    0.01324,    0.17709,    2.97500,    0.00634,    0.25321,    2.97500,    0.01326,    0.13124,    2.97500,    0.00934,    0.11726
   3.00000,    0.02116,    0.07556,    3.00000,    0.02031,    0.28429,    3.00000,    0.00467,    0.06722,    3.00000,    0.01705,    0.14970
   3.02500,    0.01945,    0.06455,    3.02500,    0.01577,    0.29359,    3.02500,    0.00630,    0.05251,    3.02500,    0.00794,    0.16960
   3.05000,    0.00162,    0.21810,    3.05000,    0.01405,    0.29145,    3.05000,    0.00910,    0.07393,    3.05000,    0.00755,    0.14816
   3.07500,    0.00309,    0.28928,    3.07500,    0.00467,    0.30585,    3.07500,    0.00578,    0.12343,    3.07500,    0.01984,    0.17053
   3.10000,    0.01401,    0.33192,    3.10000,    0.01671,    0.23672,    3.10000,    0.00761,    0.13141,    3.10000,    0.00216,    0.17365
   3.12500,    0.00603,    0.35634,    3.12500,    0.03300,    0.18655,    3.12500,    0.00920,    0.06381,    3.12500,    0.00796,    0.17793
   3.15000,    0.00602,    0.31334,    3.15000,    0.01480,    0.15470,    3.15000,    0.00466,    0.01594,    3.15000,    0.00896,    0.15720
   3.17500,    0.00879,    0.27478,    3.17500,    0.02530,    0.08632,    3.17500,    0.01279,    0.02164,    3.17500,    0.00766,    0.15800
   3.20000,    0.00829,    0.23709,    3.20000,    0.01177,    0.03760,    3.20000,    0.00777,    0.01850,    3.20000,    0.00049,    0.13956
   3.22500,    0.00896,    0.14790,    3.22500,    0.01848,    0.19166,    3.22500,    0.00533,    0.04787,    3.22500,    0.00312,    0.14243
   3.25000,    0.00595,    0.02952,    3.25000,    0.01316,    0.31486,    3.25000,    0.01015,    0.03621,    3.25000,    0.00132,    0.11524
