FE/H,C/H,MG/H,NA/H,AL/H,cluster
-0.27239,-0.17892,-0.05574,-0.16401,-0.01891,1
-0.32626,-0.27448,-0.21873,-0.41074,-0.09682,1
-0.02428,0.05916,0.06540,0.06739,0.37378,1
-0.29345,-0.20730,-0.15337,-0.32697,0.03848,1
-1.44535,-1.65024,-1.20021,-2.07600,-1.61066,1
-0.17240,-0.07340,-0.03276,-0.08907,0.08048,1
-0.31809,-0.10235,-0.11450,-0.41408,-0.12585,1
-0.13955,-0.28408,-0.11529,-0.21361,-0.08180,1
0.06838,0.13661,0.13364,0.13552,0.33906,1
-0.82365,-0.63230,-0.51112,-0.43175,-0.77564,1
0.05475,0.00962,0.05649,0.00604,0.19924,1
0.19420,0.19171,0.19159,0.13285,0.32103,1
-0.49195,-0.46488,-0.40778,-0.52912,-0.29942,1
-0.56854,-0.77139,-0.26429,0.14331,-0.21220,1
-0.59674,-0.31814,-0.29480,-0.07013,0.31773,1
-0.92564,-1.08875,-0.85661,-2.14146,-0.65564,1
-0.06861,0.02278,0.03284,-0.02164,0.21288,1
-1.09005,-1.37189,-1.03201,-2.12411,-1.16244,1
-0.11870,-0.05223,0.03996,-0.01742,0.07280,1
-0.02499,0.00287,0.01942,-0.09204,0.13372,1
-0.71523,-0.23900,-0.46460,-0.82534,-0.38810,1
-0.56472,-0.35996,-0.35405,-0.70863,-0.33221,1
0.24883,0.28141,0.37139,0.29236,0.44452,1
-0.16928,-0.02259,0.00059,-1.07478,0.20137,1
