# stars45degtime,stars45degbarDist,stars45degdiskDist,stars90degtime,stars90degbarDist,stars90degdiskDist,stars0degtime,stars0degbarDist,stars0degdiskDist,stars0deg_retrotime,stars0deg_retrobarDist,stars0deg_retrodiskDist
   2.27500,    0.02385,    0.21027,    2.27500,    0.04409,    0.02938,    2.27500,    0.03312,    0.04865,    2.27500,    0.02899,    0.14336
   2.30000,    0.01525,    0.22103,    2.30000,    0.02144,    0.07099,    2.30000,    0.01406,    0.05760,    2.30000,    0.01398,    0.07657
   2.32500,    0.02095,    0.19878,    2.32500,    0.01285,    0.15086,    2.32500,    0.02472,    0.07710,    2.32500,    0.04276,    0.03388
   2.35000,    0.04221,    0.18490,    2.35000,    0.02787,    0.16752,    2.35000,    0.01848,    0.11074,    2.35000,    0.02603,    0.06384
   2.37500,    0.01057,    0.16726,    2.37500,    0.02715,    0.09513,    2.37500,    0.02983,    0.11910,    2.37500,    0.02033,    0.09911
   2.40000,    0.01101,    0.14344,    2.40000,    0.02661,    0.11411,    2.40000,    0.00967,    0.11585,    2.40000,    0.00304,    0.15448
   2.42500,    0.02284,    0.14685,    2.42500,    0.01674,    0.19361,    2.42500,    0.01103,    0.11149,    2.42500,    0.02519,    0.22546
   2.45000,    0.02421,    0.17130,    2.45000,    0.00457,    0.27338,    2.45000,    0.00715,    0.09643,    2.45000,    0.03083,    0.24025
   2.47500,    0.01829,    0.16979,    2.47500,    0.00893,    0.32429,    2.47500,    0.03448,    0.11128,    2.47500,    0.04199,    0.28479
   2.50000,    0.01230,    0.17965,    2.50000,    0.01298,    0.32919,    2.50000,    0.02283,    0.08677,    2.50000,    0.01990,    0.27994
   2.52500,    0.02058,    0.10014,    2.52500,    0.00922,    0.30291,    2.52500,    0.01425,    0.07477,    2.52500,    0.01540,    0.28244
   2.55000,    0.01623,    0.05772,    2.55000,    0.01861,    0.23169,    2.55000,    0.00701,    0.07946,    2.55000,    0.04435,    0.23883
   2.57500,    0.02141,    0.06172,    2.57500,    0.00213,    0.15299,    2.57500,    0.03237,    0.06722,    2.57500,    0.02999,    0.14885
   2.60000,    0.00319,    0.10453,    2.60000,    0.01684,    0.08449,    2.60000,    0.00726,    0.11519,    2.60000,    0.00928,    0.10425
   2.62500,    0.02357,    0.12453,    2.62500,    0.01391,    0.08055,    2.62500,    0.00686,    0.12637,    2.62500,    0.00665,    0.10255
   2.65000,    0.00318,    0.10697,    2.65000,    0.00912,    0.16750,    2.65000,    0.00703,    0.14467,    2.65000,    0.02899,    0.10886
   2.67500,    0.00683,    0.12690,    2.67500,    0.02368,    0.21412,    2.67500,    0.00303,    0.07865,    2.67500,    0.00550,    0.12029
   2.70000,    0.00734,    0.14935,    2.70000,    0.01876,    0.24956,    2.70000,    0.01539,    0.00997,    2.70000,    0.02244,    0.06363
   2.72500,    0.01139,    0.19261,    2.72500,    0.00958,    0.28369,    2.72500,    0.01538,    0.07777,    2.72500,    0.01988,    0.02387
   2.75000,    0.02280,    0.20760,    2.75000,    0.02670,    0.33754,    2.75000,    0.01878,    0.12548,    2.75000,    0.01499,    0.07218
   2.77500,    0.01068,    0.20349,    2.77500,    0.01269,    0.39114,    2.77500,    0.00670,    0.07204,    2.77500,    0.02449,    0.16149
   2.80000,    0.00760,    0.21562,    2.80000,    0.00982,    0.37368,    2.80000,    0.01516,    0.02767,    2.80000,    0.00954,    0.19264
