Lat,Lon,Count,Name
-33.933520,18.627958,7,University of the Western Cape
31.903754,34.808031,9,Weizmann Institute of Science
52.379252,-1.561470,17,The University of Warwick
25.316358,51.438599,1,Carnegie Mellon University in Qatar
53.385062,-6.256786,2,Dublin City University
53.240082,6.534250,14,Kapteyn Institute
43.028245,-88.175846,8,Kalmbach Publishing Co. - Astronomy Maga
42.787180,-86.102357,2,Hope College
32.240200,-110.969148,1,Lunar & Planetary Laboratory
51.576524,-1.307669,11,European Space Agency
53.305344,-6.220654,3,University College Dublin
33.639075,-117.719013,50,ASTRON
40.784659,-73.957600,23,Convent of the Sacred Heart
47.409500,8.509438,4,ETH Zurich Department of Physics Insti
49.738191,-123.100412,3,Quest University Canada
51.298460,1.065835,3,University of Kent - School of Physical 
52.333757,4.865720,1,VU University Amsterdam
42.623306,-71.488226,6,MIT Haystack Observatory
32.065927,118.829514,1,Purple Mountain Observatory
51.242301,-0.590483,9,University of Surrey
26.079059,-80.233972,1,Broward College
43.727386,7.299095,9,CNRS Observatoire de la Côte d'Azur
35.379994,-86.236910,1,Jacobs Technology
51.524559,-0.134040,29,University College London (UCL)
35.084319,-106.619781,9,University of New Mexico
51.476853,-0.000500,2,Royal Observatory Greenwich
29.461844,-98.483162,3,Trinity University
41.739005,-74.085166,1,SUNY at New Paltz
47.609228,-122.317714,1,Seattle University
42.513389,-92.462003,1,University of Northern Iowa
-23.559743,-46.733877,1,Instituto de Astronomia Geofisica e Ciencias Atmosfericas
41.179429,-8.595407,1,INESC-Porto
28.757218,-17.885140,2,Nordic Optical Telescope
55.711836,13.204341,16,Lund Observatory Sweden
37.459882,126.951905,10,Seoul National University
40.350039,-74.603034,3,Princeton University Plasma Physics Laboratory
32.783612,-79.937176,8,College of Charleston
33.753068,-84.385282,21,Georgia State University
19.032311,-98.315370,4,INAOE
35.956550,-83.925513,1,Department of Physics and Astronomy The
41.662138,-86.219718,1,Indiana University South Bend
45.666756,-111.049810,9,Montana State University-Bozeman
-23.680637,-70.410266,10,Universidad Catolica del Norte
36.067832,-94.173655,1,University of Arkansas/Fayetteville
39.237141,-84.383335,1,LAM
34.097743,-117.711803,5,Pomona College
35.782182,-78.639556,1,North Carolina Museum of Natural Sciences
40.694197,-73.992897,1,CESR
45.504785,-73.577151,46,Physics Department McGill University
41.630161,-87.738056,8,AURA
33.827976,-118.025093,1,CYPRESS COLLEGE
51.458417,-2.602979,7,University of Bristol
33.455174,-88.794377,6,Mississippi State University
31.838698,117.262170,3,Department of Astronomy University of Science and Technology of China
49.317280,8.416240,1,German Universities
37.528781,15.071755,1,INAF CATANIA ASTROPHYSICAL OBSERVATORY
53.918501,14.259616,1,AURA/GONG
42.505365,-71.557732,19,Harvard College Observatory
38.590184,-76.130161,1,University of Maryland Center for Scien
22.282999,114.137085,22,The University of Hong Kong
38.882902,-77.016375,4,NASA Headquarters
51.078160,-114.135801,3,University of Calgary
25.896071,-97.486480,6,Center for Gravitational Wave Astronomy 
31.675254,-110.951994,6,MMT Observatory
45.694138,4.782878,4,CRAL Observatoire de Lyon
40.251843,-111.649316,5,Brigham Young University
30.678668,-104.025292,39,University of Texas McDonald Observatory
50.666192,4.623548,1,Center for Cosmology The University of 
24.794725,120.993232,8,Institute of Astronomy National Tsing Hua University 
42.919212,-73.237889,3,Bennington College
48.231395,16.334225,1,Institut fuer Astronomie und Astrophysik
-30.237894,-70.733698,3,Southern Astrophysical Research Telescop
53.472649,-2.187427,1,Manchester College
42.859153,-76.984487,3,Hobart and William Smith Colleges
44.496232,11.354157,3,University of Bologna
-43.523538,172.583923,5,University of Canterbury
40.820197,-96.700476,5,University of Nebraska-Lincoln
42.407484,-71.119023,8,Tufts University
41.649349,-80.144949,1,Allegheny College
65.059318,25.466293,7,University of Oulu
33.978419,-107.186534,6,New Mexico Tech/Magdalena Ridge Observat
39.132922,-84.514950,4,University of Cincinnati
52.416282,12.970005,1,Albert Einstein Institute
